number,text,numberInSurah,surah_number,surah_name,englishName,englishNameTranslation,revelationType,UrduTranslation,UrduTafseer,EnglishTranslation,Englishtafseer,SindhiTranslation,SindhiTafseer,HindiTranslation,HindiTafseer,PushtoTransation,PushtoTafseer
11,وَٱلَّذِينَ يُؤْمِنُونَ بِمَآ أُنزِلَ إِلَيْكَ وَمَآ أُنزِلَ مِن قَبْلِكَ وَبِٱلْءَاخِرَةِ هُمْ يُوقِنُونَ,4,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-4- Urdu Translation: ,2-4- Urdu Tafseer: ,2-4- English Translation: ,2-4- English Tafseer: ,2-4- Sindhi Translation: ,2-4- Sindhi Tafseer:,2-4- Hindi Translation: ,2-4- Hindi Tafseer: ,2-4- Pushto Translation: ,2-4- Pushto Tafseer: 
12,أُو۟لَٰٓئِكَ عَلَىٰ هُدًۭى مِّن رَّبِّهِمْ ۖ وَأُو۟لَٰٓئِكَ هُمُ ٱلْمُفْلِحُونَ,5,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-5- Urdu Translation: ,2-5- Urdu Tafseer: ,2-5- English Translation: ,2-5- English Tafseer: ,2-5- Sindhi Translation: ,2-5- Sindhi Tafseer:,2-5- Hindi Translation: ,2-5- Hindi Tafseer: ,2-5- Pushto Translation: ,2-5- Pushto Tafseer: 
13,إِنَّ ٱلَّذِينَ كَفَرُوا۟ سَوَآءٌ عَلَيْهِمْ ءَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ لَا يُؤْمِنُونَ,6,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-6- Urdu Translation: ,2-6- Urdu Tafseer: ,2-6- English Translation: ,2-6- English Tafseer: ,2-6- Sindhi Translation: ,2-6- Sindhi Tafseer:,2-6- Hindi Translation: ,2-6- Hindi Tafseer: ,2-6- Pushto Translation: ,2-6- Pushto Tafseer: 
14,خَتَمَ ٱللَّهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْ ۖ وَعَلَىٰٓ أَبْصَٰرِهِمْ غِشَٰوَةٌۭ ۖ وَلَهُمْ عَذَابٌ عَظِيمٌۭ,7,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-7- Urdu Translation: ,2-7- Urdu Tafseer: ,2-7- English Translation: ,2-7- English Tafseer: ,2-7- Sindhi Translation: ,2-7- Sindhi Tafseer:,2-7- Hindi Translation: ,2-7- Hindi Tafseer: ,2-7- Pushto Translation: ,2-7- Pushto Tafseer: 
15,وَمِنَ ٱلنَّاسِ مَن يَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلْيَوْمِ ٱلْءَاخِرِ وَمَا هُم بِمُؤْمِنِينَ,8,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-8- Urdu Translation: ,2-8- Urdu Tafseer: ,2-8- English Translation: ,2-8- English Tafseer: ,2-8- Sindhi Translation: ,2-8- Sindhi Tafseer:,2-8- Hindi Translation: ,2-8- Hindi Tafseer: ,2-8- Pushto Translation: ,2-8- Pushto Tafseer: 
16,يُخَٰدِعُونَ ٱللَّهَ وَٱلَّذِينَ ءَامَنُوا۟ وَمَا يَخْدَعُونَ إِلَّآ أَنفُسَهُمْ وَمَا يَشْعُرُونَ,9,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-9- Urdu Translation: ,2-9- Urdu Tafseer: ,2-9- English Translation: ,2-9- English Tafseer: ,2-9- Sindhi Translation: ,2-9- Sindhi Tafseer:,2-9- Hindi Translation: ,2-9- Hindi Tafseer: ,2-9- Pushto Translation: ,2-9- Pushto Tafseer: 
17,فِى قُلُوبِهِم مَّرَضٌۭ فَزَادَهُمُ ٱللَّهُ مَرَضًۭا ۖ وَلَهُمْ عَذَابٌ أَلِيمٌۢ بِمَا كَانُوا۟ يَكْذِبُونَ,10,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-10- Urdu Translation: ,2-10- Urdu Tafseer: ,2-10- English Translation: ,2-10- English Tafseer: ,2-10- Sindhi Translation: ,2-10- Sindhi Tafseer:,2-10- Hindi Translation: ,2-10- Hindi Tafseer: ,2-10- Pushto Translation: ,2-10- Pushto Tafseer: 
18,وَإِذَا قِيلَ لَهُمْ لَا تُفْسِدُوا۟ فِى ٱلْأَرْضِ قَالُوٓا۟ إِنَّمَا نَحْنُ مُصْلِحُونَ,11,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-11- Urdu Translation: ,2-11- Urdu Tafseer: ,2-11- English Translation: ,2-11- English Tafseer: ,2-11- Sindhi Translation: ,2-11- Sindhi Tafseer:,2-11- Hindi Translation: ,2-11- Hindi Tafseer: ,2-11- Pushto Translation: ,2-11- Pushto Tafseer: 
19,أَلَآ إِنَّهُمْ هُمُ ٱلْمُفْسِدُونَ وَلَٰكِن لَّا يَشْعُرُونَ,12,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-12- Urdu Translation: ,2-12- Urdu Tafseer: ,2-12- English Translation: ,2-12- English Tafseer: ,2-12- Sindhi Translation: ,2-12- Sindhi Tafseer:,2-12- Hindi Translation: ,2-12- Hindi Tafseer: ,2-12- Pushto Translation: ,2-12- Pushto Tafseer: 
20,وَإِذَا قِيلَ لَهُمْ ءَامِنُوا۟ كَمَآ ءَامَنَ ٱلنَّاسُ قَالُوٓا۟ أَنُؤْمِنُ كَمَآ ءَامَنَ ٱلسُّفَهَآءُ ۗ أَلَآ إِنَّهُمْ هُمُ ٱلسُّفَهَآءُ وَلَٰكِن لَّا يَعْلَمُونَ,13,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-13- Urdu Translation: ,2-13- Urdu Tafseer: ,2-13- English Translation: ,2-13- English Tafseer: ,2-13- Sindhi Translation: ,2-13- Sindhi Tafseer:,2-13- Hindi Translation: ,2-13- Hindi Tafseer: ,2-13- Pushto Translation: ,2-13- Pushto Tafseer: 
21,وَإِذَا لَقُوا۟ ٱلَّذِينَ ءَامَنُوا۟ قَالُوٓا۟ ءَامَنَّا وَإِذَا خَلَوْا۟ إِلَىٰ شَيَٰطِينِهِمْ قَالُوٓا۟ إِنَّا مَعَكُمْ إِنَّمَا نَحْنُ مُسْتَهْزِءُونَ,14,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-14- Urdu Translation: ,2-14- Urdu Tafseer: ,2-14- English Translation: ,2-14- English Tafseer: ,2-14- Sindhi Translation: ,2-14- Sindhi Tafseer:,2-14- Hindi Translation: ,2-14- Hindi Tafseer: ,2-14- Pushto Translation: ,2-14- Pushto Tafseer: 
22,ٱللَّهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فِى طُغْيَٰنِهِمْ يَعْمَهُونَ,15,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-15- Urdu Translation: ,2-15- Urdu Tafseer: ,2-15- English Translation: ,2-15- English Tafseer: ,2-15- Sindhi Translation: ,2-15- Sindhi Tafseer:,2-15- Hindi Translation: ,2-15- Hindi Tafseer: ,2-15- Pushto Translation: ,2-15- Pushto Tafseer: 
23,أُو۟لَٰٓئِكَ ٱلَّذِينَ ٱشْتَرَوُا۟ ٱلضَّلَٰلَةَ بِٱلْهُدَىٰ فَمَا رَبِحَت تِّجَٰرَتُهُمْ وَمَا كَانُوا۟ مُهْتَدِينَ,16,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-16- Urdu Translation: ,2-16- Urdu Tafseer: ,2-16- English Translation: ,2-16- English Tafseer: ,2-16- Sindhi Translation: ,2-16- Sindhi Tafseer:,2-16- Hindi Translation: ,2-16- Hindi Tafseer: ,2-16- Pushto Translation: ,2-16- Pushto Tafseer: 
24,مَثَلُهُمْ كَمَثَلِ ٱلَّذِى ٱسْتَوْقَدَ نَارًۭا فَلَمَّآ أَضَآءَتْ مَا حَوْلَهُۥ ذَهَبَ ٱللَّهُ بِنُورِهِمْ وَتَرَكَهُمْ فِى ظُلُمَٰتٍۢ لَّا يُبْصِرُونَ,17,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-17- Urdu Translation: ,2-17- Urdu Tafseer: ,2-17- English Translation: ,2-17- English Tafseer: ,2-17- Sindhi Translation: ,2-17- Sindhi Tafseer:,2-17- Hindi Translation: ,2-17- Hindi Tafseer: ,2-17- Pushto Translation: ,2-17- Pushto Tafseer: 
25,صُمٌّۢ بُكْمٌ عُمْىٌۭ فَهُمْ لَا يَرْجِعُونَ,18,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-18- Urdu Translation: ,2-18- Urdu Tafseer: ,2-18- English Translation: ,2-18- English Tafseer: ,2-18- Sindhi Translation: ,2-18- Sindhi Tafseer:,2-18- Hindi Translation: ,2-18- Hindi Tafseer: ,2-18- Pushto Translation: ,2-18- Pushto Tafseer: 
26,أَوْ كَصَيِّبٍۢ مِّنَ ٱلسَّمَآءِ فِيهِ ظُلُمَٰتٌۭ وَرَعْدٌۭ وَبَرْقٌۭ يَجْعَلُونَ أَصَٰبِعَهُمْ فِىٓ ءَاذَانِهِم مِّنَ ٱلصَّوَٰعِقِ حَذَرَ ٱلْمَوْتِ ۚ وَٱللَّهُ مُحِيطٌۢ بِٱلْكَٰفِرِينَ,19,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-19- Urdu Translation: ,2-19- Urdu Tafseer: ,2-19- English Translation: ,2-19- English Tafseer: ,2-19- Sindhi Translation: ,2-19- Sindhi Tafseer:,2-19- Hindi Translation: ,2-19- Hindi Tafseer: ,2-19- Pushto Translation: ,2-19- Pushto Tafseer: 
27,يَكَادُ ٱلْبَرْقُ يَخْطَفُ أَبْصَٰرَهُمْ ۖ كُلَّمَآ أَضَآءَ لَهُم مَّشَوْا۟ فِيهِ وَإِذَآ أَظْلَمَ عَلَيْهِمْ قَامُوا۟ ۚ وَلَوْ شَآءَ ٱللَّهُ لَذَهَبَ بِسَمْعِهِمْ وَأَبْصَٰرِهِمْ ۚ إِنَّ ٱللَّهَ عَلَىٰ كُلِّ شَىْءٍۢ قَدِيرٌۭ,20,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-20- Urdu Translation: ,2-20- Urdu Tafseer: ,2-20- English Translation: ,2-20- English Tafseer: ,2-20- Sindhi Translation: ,2-20- Sindhi Tafseer:,2-20- Hindi Translation: ,2-20- Hindi Tafseer: ,2-20- Pushto Translation: ,2-20- Pushto Tafseer: 
28,يَٰٓأَيُّهَا ٱلنَّاسُ ٱعْبُدُوا۟ رَبَّكُمُ ٱلَّذِى خَلَقَكُمْ وَٱلَّذِينَ مِن قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُونَ,21,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-21- Urdu Translation: ,2-21- Urdu Tafseer: ,2-21- English Translation: ,2-21- English Tafseer: ,2-21- Sindhi Translation: ,2-21- Sindhi Tafseer:,2-21- Hindi Translation: ,2-21- Hindi Tafseer: ,2-21- Pushto Translation: ,2-21- Pushto Tafseer: 
29,ٱلَّذِى جَعَلَ لَكُمُ ٱلْأَرْضَ فِرَٰشًۭا وَٱلسَّمَآءَ بِنَآءًۭ وَأَنزَلَ مِنَ ٱلسَّمَآءِ مَآءًۭ فَأَخْرَجَ بِهِۦ مِنَ ٱلثَّمَرَٰتِ رِزْقًۭا لَّكُمْ ۖ فَلَا تَجْعَلُوا۟ لِلَّهِ أَندَادًۭا وَأَنتُمْ تَعْلَمُونَ,22,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-22- Urdu Translation: ,2-22- Urdu Tafseer: ,2-22- English Translation: ,2-22- English Tafseer: ,2-22- Sindhi Translation: ,2-22- Sindhi Tafseer:,2-22- Hindi Translation: ,2-22- Hindi Tafseer: ,2-22- Pushto Translation: ,2-22- Pushto Tafseer: 
30,وَإِن كُنتُمْ فِى رَيْبٍۢ مِّمَّا نَزَّلْنَا عَلَىٰ عَبْدِنَا فَأْتُوا۟ بِسُورَةٍۢ مِّن مِّثْلِهِۦ وَٱدْعُوا۟ شُهَدَآءَكُم مِّن دُونِ ٱللَّهِ إِن كُنتُمْ صَٰدِقِينَ,23,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-23- Urdu Translation: ,2-23- Urdu Tafseer: ,2-23- English Translation: ,2-23- English Tafseer: ,2-23- Sindhi Translation: ,2-23- Sindhi Tafseer:,2-23- Hindi Translation: ,2-23- Hindi Tafseer: ,2-23- Pushto Translation: ,2-23- Pushto Tafseer: 
31,فَإِن لَّمْ تَفْعَلُوا۟ وَلَن تَفْعَلُوا۟ فَٱتَّقُوا۟ ٱلنَّارَ ٱلَّتِى وَقُودُهَا ٱلنَّاسُ وَٱلْحِجَارَةُ ۖ أُعِدَّتْ لِلْكَٰفِرِينَ,24,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-24- Urdu Translation: ,2-24- Urdu Tafseer: ,2-24- English Translation: ,2-24- English Tafseer: ,2-24- Sindhi Translation: ,2-24- Sindhi Tafseer:,2-24- Hindi Translation: ,2-24- Hindi Tafseer: ,2-24- Pushto Translation: ,2-24- Pushto Tafseer: 
32,وَبَشِّرِ ٱلَّذِينَ ءَامَنُوا۟ وَعَمِلُوا۟ ٱلصَّٰلِحَٰتِ أَنَّ لَهُمْ جَنَّٰتٍۢ تَجْرِى مِن تَحْتِهَا ٱلْأَنْهَٰرُ ۖ كُلَّمَا رُزِقُوا۟ مِنْهَا مِن ثَمَرَةٍۢ رِّزْقًۭا ۙ قَالُوا۟ هَٰذَا ٱلَّذِى رُزِقْنَا مِن قَبْلُ ۖ وَأُتُوا۟ بِهِۦ مُتَشَٰبِهًۭا ۖ وَلَهُمْ فِيهَآ أَزْوَٰجٌۭ مُّطَهَّرَةٌۭ ۖ وَهُمْ فِيهَا خَٰلِدُونَ,25,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-25- Urdu Translation: ,2-25- Urdu Tafseer: ,2-25- English Translation: ,2-25- English Tafseer: ,2-25- Sindhi Translation: ,2-25- Sindhi Tafseer:,2-25- Hindi Translation: ,2-25- Hindi Tafseer: ,2-25- Pushto Translation: ,2-25- Pushto Tafseer: 
33,۞ إِنَّ ٱللَّهَ لَا يَسْتَحْىِۦٓ أَن يَضْرِبَ مَثَلًۭا مَّا بَعُوضَةًۭ فَمَا فَوْقَهَا ۚ فَأَمَّا ٱلَّذِينَ ءَامَنُوا۟ فَيَعْلَمُونَ أَنَّهُ ٱلْحَقُّ مِن رَّبِّهِمْ ۖ وَأَمَّا ٱلَّذِينَ كَفَرُوا۟ فَيَقُولُونَ مَاذَآ أَرَادَ ٱللَّهُ بِهَٰذَا مَثَلًۭا ۘ يُضِلُّ بِهِۦ كَثِيرًۭا وَيَهْدِى بِهِۦ كَثِيرًۭا ۚ وَمَا يُضِلُّ بِهِۦٓ إِلَّا ٱلْفَٰسِقِينَ,26,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-26- Urdu Translation: ,2-26- Urdu Tafseer: ,2-26- English Translation: ,2-26- English Tafseer: ,2-26- Sindhi Translation: ,2-26- Sindhi Tafseer:,2-26- Hindi Translation: ,2-26- Hindi Tafseer: ,2-26- Pushto Translation: ,2-26- Pushto Tafseer: 
34,ٱلَّذِينَ يَنقُضُونَ عَهْدَ ٱللَّهِ مِنۢ بَعْدِ مِيثَٰقِهِۦ وَيَقْطَعُونَ مَآ أَمَرَ ٱللَّهُ بِهِۦٓ أَن يُوصَلَ وَيُفْسِدُونَ فِى ٱلْأَرْضِ ۚ أُو۟لَٰٓئِكَ هُمُ ٱلْخَٰسِرُونَ,27,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-27- Urdu Translation: ,2-27- Urdu Tafseer: ,2-27- English Translation: ,2-27- English Tafseer: ,2-27- Sindhi Translation: ,2-27- Sindhi Tafseer:,2-27- Hindi Translation: ,2-27- Hindi Tafseer: ,2-27- Pushto Translation: ,2-27- Pushto Tafseer: 
35,كَيْفَ تَكْفُرُونَ بِٱللَّهِ وَكُنتُمْ أَمْوَٰتًۭا فَأَحْيَٰكُمْ ۖ ثُمَّ يُمِيتُكُمْ ثُمَّ يُحْيِيكُمْ ثُمَّ إِلَيْهِ تُرْجَعُونَ,28,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-28- Urdu Translation: ,2-28- Urdu Tafseer: ,2-28- English Translation: ,2-28- English Tafseer: ,2-28- Sindhi Translation: ,2-28- Sindhi Tafseer:,2-28- Hindi Translation: ,2-28- Hindi Tafseer: ,2-28- Pushto Translation: ,2-28- Pushto Tafseer: 
36,هُوَ ٱلَّذِى خَلَقَ لَكُم مَّا فِى ٱلْأَرْضِ جَمِيعًۭا ثُمَّ ٱسْتَوَىٰٓ إِلَى ٱلسَّمَآءِ فَسَوَّىٰهُنَّ سَبْعَ سَمَٰوَٰتٍۢ ۚ وَهُوَ بِكُلِّ شَىْءٍ عَلِيمٌۭ,29,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-29- Urdu Translation: ,2-29- Urdu Tafseer: ,2-29- English Translation: ,2-29- English Tafseer: ,2-29- Sindhi Translation: ,2-29- Sindhi Tafseer:,2-29- Hindi Translation: ,2-29- Hindi Tafseer: ,2-29- Pushto Translation: ,2-29- Pushto Tafseer: 
37,وَإِذْ قَالَ رَبُّكَ لِلْمَلَٰٓئِكَةِ إِنِّى جَاعِلٌۭ فِى ٱلْأَرْضِ خَلِيفَةًۭ ۖ قَالُوٓا۟ أَتَجْعَلُ فِيهَا مَن يُفْسِدُ فِيهَا وَيَسْفِكُ ٱلدِّمَآءَ وَنَحْنُ نُسَبِّحُ بِحَمْدِكَ وَنُقَدِّسُ لَكَ ۖ قَالَ إِنِّىٓ أَعْلَمُ مَا لَا تَعْلَمُونَ,30,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-30- Urdu Translation: ,2-30- Urdu Tafseer: ,2-30- English Translation: ,2-30- English Tafseer: ,2-30- Sindhi Translation: ,2-30- Sindhi Tafseer:,2-30- Hindi Translation: ,2-30- Hindi Tafseer: ,2-30- Pushto Translation: ,2-30- Pushto Tafseer: 
38,وَعَلَّمَ ءَادَمَ ٱلْأَسْمَآءَ كُلَّهَا ثُمَّ عَرَضَهُمْ عَلَى ٱلْمَلَٰٓئِكَةِ فَقَالَ أَنۢبِـُٔونِى بِأَسْمَآءِ هَٰٓؤُلَآءِ إِن كُنتُمْ صَٰدِقِينَ,31,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-31- Urdu Translation: ,2-31- Urdu Tafseer: ,2-31- English Translation: ,2-31- English Tafseer: ,2-31- Sindhi Translation: ,2-31- Sindhi Tafseer:,2-31- Hindi Translation: ,2-31- Hindi Tafseer: ,2-31- Pushto Translation: ,2-31- Pushto Tafseer: 
39,قَالُوا۟ سُبْحَٰنَكَ لَا عِلْمَ لَنَآ إِلَّا مَا عَلَّمْتَنَآ ۖ إِنَّكَ أَنتَ ٱلْعَلِيمُ ٱلْحَكِيمُ,32,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-32- Urdu Translation: ,2-32- Urdu Tafseer: ,2-32- English Translation: ,2-32- English Tafseer: ,2-32- Sindhi Translation: ,2-32- Sindhi Tafseer:,2-32- Hindi Translation: ,2-32- Hindi Tafseer: ,2-32- Pushto Translation: ,2-32- Pushto Tafseer: 
40,قَالَ يَٰٓـَٔادَمُ أَنۢبِئْهُم بِأَسْمَآئِهِمْ ۖ فَلَمَّآ أَنۢبَأَهُم بِأَسْمَآئِهِمْ قَالَ أَلَمْ أَقُل لَّكُمْ إِنِّىٓ أَعْلَمُ غَيْبَ ٱلسَّمَٰوَٰتِ وَٱلْأَرْضِ وَأَعْلَمُ مَا تُبْدُونَ وَمَا كُنتُمْ تَكْتُمُونَ,33,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-33- Urdu Translation: ,2-33- Urdu Tafseer: ,2-33- English Translation: ,2-33- English Tafseer: ,2-33- Sindhi Translation: ,2-33- Sindhi Tafseer:,2-33- Hindi Translation: ,2-33- Hindi Tafseer: ,2-33- Pushto Translation: ,2-33- Pushto Tafseer: 
41,وَإِذْ قُلْنَا لِلْمَلَٰٓئِكَةِ ٱسْجُدُوا۟ لِءَادَمَ فَسَجَدُوٓا۟ إِلَّآ إِبْلِيسَ أَبَىٰ وَٱسْتَكْبَرَ وَكَانَ مِنَ ٱلْكَٰفِرِينَ,34,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-34- Urdu Translation: ,2-34- Urdu Tafseer: ,2-34- English Translation: ,2-34- English Tafseer: ,2-34- Sindhi Translation: ,2-34- Sindhi Tafseer:,2-34- Hindi Translation: ,2-34- Hindi Tafseer: ,2-34- Pushto Translation: ,2-34- Pushto Tafseer: 
42,وَقُلْنَا يَٰٓـَٔادَمُ ٱسْكُنْ أَنتَ وَزَوْجُكَ ٱلْجَنَّةَ وَكُلَا مِنْهَا رَغَدًا حَيْثُ شِئْتُمَا وَلَا تَقْرَبَا هَٰذِهِ ٱلشَّجَرَةَ فَتَكُونَا مِنَ ٱلظَّٰلِمِينَ,35,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-35- Urdu Translation: ,2-35- Urdu Tafseer: ,2-35- English Translation: ,2-35- English Tafseer: ,2-35- Sindhi Translation: ,2-35- Sindhi Tafseer:,2-35- Hindi Translation: ,2-35- Hindi Tafseer: ,2-35- Pushto Translation: ,2-35- Pushto Tafseer: 
